NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
5,30,5,130.6,35.66,1293.53,6.41,3.03,9.71
5,40,5,130.6,35.66,1293.53,6.41,3.03,9.71
4,10,13,50.21,57.49,801.85,6.4,4.88,13.82
12,10,3,215.87,27.62,1656.15,6.35,2.35,8.2
3,20,10,63.94,50.43,895.58,6.27,4.28,12.49
2-1/2,20,13,48.25,57.49,770.6,6.15,4.88,13.82
5,10,9,69.38,47.84,921.9,6.13,4.06,12.0
2-1/2,30,12,51.8,55.24,794.78,6.1,4.69,13.39
2-1/2,40,12,51.8,55.24,794.78,6.1,4.69,13.39
3,10,16,38.74,63.78,686.47,6.08,5.42,15.0
10,30,2,306.08,22.55,1917.36,6.01,1.92,7.24
3,30,9,67.76,47.84,900.39,5.98,4.06,12.0
3,40,9,67.76,47.84,900.39,5.98,4.06,12.0
4,10,12,50.21,55.24,770.39,5.91,4.69,13.39
8,20,3,199.9,27.62,1533.64,5.88,2.35,8.2
8,10,5,119.81,35.66,1186.64,5.88,3.03,9.71
12,20,2,298.28,22.55,1868.46,5.85,1.92,7.24
4,20,7,83.33,42.19,976.57,5.72,3.58,10.94
3,10,15,38.74,61.76,664.67,5.7,5.25,14.62
6,10,7,82.96,42.19,972.23,5.7,3.58,10.94
4,30,6,96.45,39.06,1046.5,5.68,3.32,10.35
4,40,6,96.45,39.06,1046.5,5.68,3.32,10.35
2-1/2,20,12,48.25,55.24,740.37,5.68,4.69,13.39
3,20,9,63.94,47.84,849.62,5.65,4.06,12.0
2-1/2,40,11,51.8,52.89,760.94,5.59,4.49,12.95
2-1/2,30,11,51.8,52.89,760.94,5.59,4.49,12.95
5,20,5,111.67,35.66,1106.08,5.48,3.03,9.71
5,10,8,69.38,45.1,869.18,5.44,3.83,11.49
4,10,11,50.21,52.89,737.59,5.42,4.49,12.95
3,30,8,67.76,45.1,848.9,5.32,3.83,11.49
3,40,8,67.76,45.1,848.9,5.32,3.83,11.49
3,10,14,38.74,59.66,642.13,5.32,5.07,14.22
6,20,4,133.89,31.89,1186.09,5.25,2.71,9.0
2-1/2,20,11,48.25,52.89,708.85,5.21,4.49,12.95
5,30,4,130.6,31.89,1156.97,5.12,2.71,9.0
5,40,4,130.6,31.89,1156.97,5.12,2.71,9.0
2,30,16,32.62,63.78,578.04,5.12,5.42,15.0
2,40,16,32.62,63.78,578.04,5.12,5.42,15.0
2-1/2,40,10,51.8,50.43,725.53,5.08,4.28,12.49
2-1/2,30,10,51.8,50.43,725.53,5.08,4.28,12.49
3,20,8,63.94,45.1,801.03,5.02,3.83,11.49
8,40,2,255.29,22.55,1599.21,5.01,1.92,7.24
