NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ)
2-1/2,30,12,51.8,55.24,794.78,6.1
2-1/2,40,12,51.8,55.24,794.78,6.1
3,10,16,38.74,63.78,686.47,6.08
10,30,2,306.08,22.55,1917.36,6.01
3,30,9,67.76,47.84,900.39,5.98
3,40,9,67.76,47.84,900.39,5.98
4,10,12,50.21,55.24,770.39,5.91
8,20,3,199.9,27.62,1533.64,5.88
8,10,5,119.81,35.66,1186.64,5.88
12,20,2,298.28,22.55,1868.46,5.85
4,20,7,83.33,42.19,976.57,5.72
3,10,15,38.74,61.76,664.67,5.7
6,10,7,82.96,42.19,972.23,5.7
4,30,6,96.45,39.06,1046.5,5.68
4,40,6,96.45,39.06,1046.5,5.68
2-1/2,20,12,48.25,55.24,740.37,5.68
3,20,9,63.94,47.84,849.62,5.65
2-1/2,40,11,51.8,52.89,760.94,5.59
2-1/2,30,11,51.8,52.89,760.94,5.59
5,20,5,111.67,35.66,1106.08,5.48
5,10,8,69.38,45.1,869.18,5.44
4,10,11,50.21,52.89,737.59,5.42
3,30,8,67.76,45.1,848.9,5.32
3,40,8,67.76,45.1,848.9,5.32
3,10,14,38.74,59.66,642.13,5.32
6,20,4,133.89,31.89,1186.09,5.25
2-1/2,20,11,48.25,52.89,708.85,5.21
5,30,4,130.6,31.89,1156.97,5.12
5,40,4,130.6,31.89,1156.97,5.12
2,30,16,32.62,63.78,578.04,5.12
2,40,16,32.62,63.78,578.04,5.12
2-1/2,40,10,51.8,50.43,725.53,5.08
2-1/2,30,10,51.8,50.43,725.53,5.08
3,20,8,63.94,45.1,801.03,5.02
8,40,2,255.29,22.55,1599.21,5.01
6,40,3,169.58,27.62,1301.03,4.99
6,30,3,169.58,27.62,1301.03,4.99
2-1/2,10,16,31.57,63.78,559.33,4.96
3,10,13,38.74,57.49,618.77,4.94
4,10,10,50.21,50.43,703.27,4.93
10,20,2,250.55,22.55,1569.46,4.92
10,10,3,166.66,27.62,1278.62,4.9
4,20,6,83.33,39.06,904.13,4.9
6,10,6,82.96,39.06,900.11,4.88
2,40,15,32.62,61.76,559.69,4.8
2,30,15,32.62,61.76,559.69,4.8
5,10,7,69.38,42.19,813.04,4.76
4,30,5,96.45,35.66,955.32,4.73
4,40,5,96.45,35.66,955.32,4.73
2-1/2,20,10,48.25,50.43,675.86,4.73
8,10,4,119.81,31.89,1061.36,4.7
3,30,7,67.76,42.19,794.07,4.65
2-1/2,10,15,31.57,61.76,541.57,4.65
3,40,7,67.76,42.19,794.07,4.65
2-1/2,40,9,51.8,47.84,688.3,4.57
2-1/2,30,9,51.8,47.84,688.3,4.57
3,10,12,38.74,55.24,594.5,4.56
2,30,14,32.62,59.66,540.71,4.48
2,40,14,32.62,59.66,540.71,4.48
4,10,9,50.21,47.84,667.18,4.43
3,20,7,63.94,42.19,749.29,4.39
5,20,4,111.67,31.89,989.31,4.38
12,40,1,443.17,15.95,1962.98,4.35
2-1/2,10,14,31.57,59.66,523.2,4.34
8,30,2,220.9,22.55,1383.78,4.33
2-1/2,20,9,48.25,47.84,641.18,4.26
12,10,2,215.87,22.55,1352.24,4.24
2,20,16,26.88,63.78,476.21,4.22
3,10,11,38.74,52.89,569.19,4.18
2,30,13,32.62,57.49,521.04,4.16
2,40,13,32.62,57.49,521.04,4.16
4,20,5,83.33,35.66,825.35,4.09
5,10,6,69.38,39.06,752.73,4.08
2-1/2,40,8,51.8,45.1,648.93,4.07
2-1/2,30,8,51.8,45.1,648.93,4.07
6,10,5,82.96,35.66,821.68,4.07
2-1/2,10,13,31.57,57.49,504.17,4.03
3,40,6,67.76,39.06,735.17,3.99
3,30,6,67.76,39.06,735.17,3.99
2,20,15,26.88,61.76,461.09,3.95
6,20,3,133.89,27.62,1027.19,3.94
4,10,8,50.21,45.1,629.02,3.94
8,20,2,199.9,22.55,1252.21,3.92
2,40,12,32.62,55.24,500.6,3.84
2,30,12,32.62,55.24,500.6,3.84
12,30,1,391.11,15.95,1732.42,3.84
5,40,3,130.6,27.62,1001.96,3.84
5,30,3,130.6,27.62,1001.96,3.84
1-1/2,40,16,24.3,63.78,430.48,3.81
1-1/2,30,16,24.3,63.78,430.48,3.81
3,10,10,38.74,50.43,542.7,3.8
2-1/2,20,8,48.25,45.1,604.51,3.79
4,30,4,96.45,31.89,854.47,3.78
4,40,4,96.45,31.89,854.47,3.78
3,20,6,63.94,39.06,693.71,3.76
2-1/2,10,12,31.57,55.24,484.39,3.72
2,10,16,23.58,63.78,417.79,3.7
2,20,14,26.88,59.66,445.45,3.69
1-1/2,30,15,24.3,61.76,416.81,3.58
1-1/2,40,15,24.3,61.76,416.81,3.58
2-1/2,40,7,51.8,42.19,607.02,3.56
2-1/2,30,7,51.8,42.19,607.02,3.56
10,40,1,361.75,15.95,1602.36,3.55
8,10,3,119.81,27.62,919.16,3.53
2,40,11,32.62,52.89,479.29,3.52
2,30,11,32.62,52.89,479.29,3.52
2,10,15,23.58,61.76,404.52,3.47
4,10,7,50.21,42.19,588.4,3.45
2,20,13,26.88,57.49,429.25,3.43
